time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
29360128,9122917,575458,625250,575083,671375
30408704,9430042,596083,650208,592750,698375
31457280,9764958,619500,677125,616125,719625
32505856,10134875,637250,692083,638917,746292
33554432,10418583,660583,714667,654500,773625
34603008,10723833,680834,739750,674875,792041
35651584,11051542,698917,801750,695375,816083
36700160,11484667,731500,816667,785292,874584
37748736,11885542,741250,735875,739000,864833
38797312,12026750,761459,756458,757250,894083
39845888,12375958,796333,845708,777250,912375
40894464,12756459,803334,873875,798208,936583
41943040,13004458,821375,890834,822208,961000
42991616,13331958,854833,914417,839708,985375
44040192,13659625,867333,937000,863083,1020667
45088768,14066708,887875,960542,880792,1040083
46137344,14387584,904791,982792,901500,1060833
47185920,14648458,928625,1023000,932292,1083333
48234496,14983500,949334,1025958,944583,1110000
49283072,15311042,982125,1051375,965958,1134333
50331648,15689417,988834,1074666,986542,1159083
51380224,15959333,1015958,1094250,1010042,1180875
52428800,16275292,1035166,1120917,1028458,1207708
53477376,16648000,1056917,1153125,1060125,1230958
54525952,16978375,1073000,1162750,1071625,1260666
55574528,17226959,1097750,1185959,1098291,1280417
56623104,17590583,1138292,1218583,1125333,1324333
57671680,17960417,1138583,1235083,1135083,1327750
58720256,18248458,1158792,1257500,1157292,1358416
59768832,18527709,1192375,1278459,1177584,1380083
60817408,18911083,1205917,1303167,1195625,1403166
61865984,19300458,1222625,1326083,1227875,1429167
62914560,19557625,1252750,1346917,1238417,1451791
63963136,19922375,1267375,1372916,1258792,1475083
65011712,20180208,1287125,1395083,1282542,1499167
66060288,20572958,1312334,1415917,1304542,1523458
67108864,20848333,1328667,1439125,1324666,1555084
68157440,21148916,1350750,1462167,1345833,1612750
69206016,21473583,1375917,1485583,1366542,1596916
70254592,21856500,1393583,1509125,1386542,1620291
71303168,22130625,1414083,1530083,1408334,1654916
72351744,22447916,1435500,1550334,1426417,1671291
73400320,22785625,1452625,1572542,1450791,1695375
74448896,23152291,1474625,1596500,1471000,1719250
75497472,23421833,1495709,1659834,1491833,1744458
76546048,23755958,1518500,1638542,1509166,1768250
77594624,24066667,1537375,1664500,1533250,1815000
78643200,24479458,1560792,1687083,1553542,1819791
79691776,24792708,1582209,1710458,1574125,1845500
80740352,25063625,1602958,1737125,1592500,1865833
81788928,25360083,1627167,1762042,1615125,1889958
82837504,25761375,1643375,1777875,1653417,1916209
83886080,26028042,1663167,1801084,1656291,1942834
84934656,26350958,1686000,1829708,1675625,1959334
85983232,26686083,1706083,1846167,1698750,2005291
87031808,27058833,1725000,1868167,1724459,2012083
88080384,27319083,1745791,1901750,1739292,2035667
89128960,27695292,1769542,1914084,1767709,2060458
90177536,28009583,1790250,1933417,1778750,2083292
91226112,28361417,1811250,1961333,1801083,2108583
92274688,28644833,1858041,1989042,1820208,2139833
93323264,28937583,1853042,2003917,1843208,2158541
94371840,29279417,1874917,2031458,1864750,2182750
95420416,29673209,1894666,2049834,1889708,2226791
96468992,29905792,2080416,2079167,1911458,2244334
97517568,30235291,1938042,2092291,1926292,2259375
98566144,30611042,1957625,2117042,1960166,2278792
99614720,30980833,1978375,2139042,1968875,2302959
100663296,31236125,1998750,2163250,1989584,2347666
101711872,31545542,2020125,2182791,2009334,2351833
102760448,31914084,2043875,2207042,2031083,2373791
103809024,32249084,2062500,2229541,2051792,2404583
104857600,32552083,2082291,2252834,2069625,2432375
105906176,32854875,2102834,2273500,2099375,2448458
106954752,33214625,2124083,2301834,2111792,2471375
108003328,33553666,2150625,2319125,2136709,2538958
109051904,33825041,2191542,2362083,2156959,2528708
110100480,34135125,2185292,2371416,2177708,2547792
111149056,34521208,2215834,2386584,2197833,2567958
112197632,34921916,2232250,2407833,2224833,2610750
113246208,35113583,2255834,2430208,2236875,2616458
114294784,35481750,2271208,2453250,2263667,2643750
115343360,35843458,2283667,2476333,2276792,2667917
116391936,36121875,2312542,2500375,2307250,2691334
